list-none-none,1,10,1,30,68153,2271
list-none-none,1,100,1,300,125578,418
list-none-none,1,1000,1,3000,3632211,1210
list-none-none,1,10000,1,30000,360434714,12014
list-none-none,1,20000,1,60000,2264542437,37742
list-none-none,2,1,1,6,137932,22988
list-none-none,2,10,1,60,108789,1813
list-none-none,4,1,1,12,159527,13293
list-none-none,4,10,1,120,131718,1097
list-none-none,8,1,1,24,256984,10707
list-none-none,12,1,1,36,445942,12387
list-none-none,12,10,1,360,388478,1079
list-i-none,2,1,1,6,114087,19014
list-i-none,2,2,1,12,89701,7475
list-i-none,2,16,1,96,131841,1373
list-i-none,4,1,1,12,121173,10097
list-i-none,4,2,1,24,129157,5381
list-i-none,8,8,1,192,294143,1531
list-i-none,12,1,1,36,429778,11938
list-d-none,2,1,1,6,89314,14885
list-d-none,2,2,1,12,108276,9023
list-d-none,2,16,1,96,99616,1037
list-d-none,4,1,1,12,128408,10700
list-d-none,4,4,1,48,123336,2569
list-d-none,8,1,1,24,256097,10670
list-d-none,8,2,1,48,290968,6061
list-d-none,8,8,1,192,270652,1409
list-d-none,12,1,1,36,374625,10406
list-d-none,12,2,1,72,378157,5252
list-d-none,12,4,1,144,387586,2691
list-d-none,12,8,1,288,362910,1260
list-il-none,2,1,1,6,101570,16928
list-il-none,2,4,1,24,115325,4805
list-il-none,2,16,1,96,234058,2438
list-il-none,2,32,1,192,488472,2544
list-il-none,4,1,1,12,140408,11700
list-il-none,4,4,1,48,137701,2868
list-il-none,4,16,1,192,346858,1806
list-il-none,8,1,1,24,293576,12232
list-il-none,8,2,1,48,241124,5023
list-il-none,8,4,1,96,260121,2709
list-il-none,8,16,1,384,589238,1534
list-il-none,12,2,1,72,388850,5400
list-dl-none,2,1,1,6,102869,17144
list-dl-none,2,2,1,12,108094,9007
list-dl-none,2,4,1,24,115015,4792
list-dl-none,2,8,1,48,110922,2310
list-dl-none,2,32,1,192,503692,2623
list-dl-none,4,1,1,12,130655,10887
list-dl-none,4,2,1,24,158858,6619
list-dl-none,4,4,1,48,134731,2806
list-dl-none,4,8,1,96,156423,1629
list-dl-none,4,16,1,192,311370,1621
list-dl-none,8,1,1,24,247207,10300
list-dl-none,8,2,1,48,265170,5524
list-dl-none,8,4,1,96,285580,2974
list-dl-none,12,1,1,36,412512,11458
list-dl-none,12,4,1,144,386223,2682
list-i-m,12,32,1,1152,1887473,1638
list-d-m,12,32,1,1152,1952580,1694
list-il-m,12,32,1,1152,14049996,12196
list-dl-m,12,32,1,1152,15925662,13824
list-i-s,12,32,1,1152,5273865,4578
list-d-s,12,32,1,1152,2999316,2603
list-il-s,12,32,1,1152,31181311,27067
list-dl-s,12,32,1,1152,26567042,23061
list-none-none,1,1000,1,3000,3718128,1239
list-none-m,1,1000,1,3000,3729026,1243
list-none-m,2,1000,1,6000,21590906,3598
list-none-m,4,1000,1,12000,53016898,4418
list-none-m,8,1000,1,24000,80620050,3359
list-none-m,12,1000,1,36000,171517936,4764
list-none-m,16,1000,1,48000,287934420,5998
list-none-m,24,1000,1,72000,1803995520,25055
list-none-s,1,1000,1,3000,3676863,1225
list-none-s,2,1000,1,6000,21149434,3524
list-none-s,4,1000,1,12000,114987779,9582
list-none-s,8,1000,1,24000,939961784,39165
list-none-s,12,1000,1,36000,4249173009,118032
list-none-s,16,1000,1,48000,12496278100,260339
list-none-s,24,1000,1,72000,36221073123,503070
